1-1 MAT.5.4
1-2 EXO.15.13
1-3 DEU.31.6
1-4 LEV.19.32
1-5 PSA.98.1
1-6 1TI.6.10
1-7 DEU.5.17
1-8 1CO.12.4-6
1-9 1TI.6.17-18
1-10 MRK.11.22-23
1-11 PHP.3.20-21
1-12 JAS.1.12
1-13 1PE.5.10-11
1-14 DEU.10.16
1-15 MAT.10.38-39
1-16 MAT.5.32
1-17 JHN.15.7-8
1-18 DEU.10.12-13
1-19 JHN.14.23
1-20 LUK.4.18-19
1-21 MRK.10.29-30
1-22 MAT.11.28
1-23 JHN.14.16-17
1-24 TIT.2.11-12
1-25 DEU.11.1
1-26 NUM.14.18
1-27 PHP.4.19
1-28 HEB.7.26-27
1-29 1PE.1.17
1-30 HEB.12.3
1-31 1JN.4.14
2-1 EPH.5.15-16
2-2 1PE.3.9
2-3 1CO.10.12
2-4 MAT.5.22
2-5 MAT.5.10
2-6 1PE.4.10
2-7 1PE.2.10
2-8 LUK.4.8
2-9 2TH.3.3
2-10 JER.29.11
2-11 1CO.3.11
2-12 MAT.11.29-30
2-13 1JN.4.7
2-14 1TI.2.5-6
2-15 JHN.1.1
2-16 REV.5.13
2-17 MAT.7.15
2-18 JHN.1.29
2-19 LUK.4.3-4
2-20 LUK.1.52-53
2-21 GAL.4.6-7
2-22 COL.3.1-2
2-23 DEU.8.5
2-24 COL.1.15-16
2-25 EPH.1.3
2-26 2PE.1.5-7
2-27 HEB.13.17
2-28 LUK.12.22
2-29 MAT.13.44
3-1 MAT.6.14-15
3-2 LUK.1.37
3-3 HEB.7.25
3-4 GEN.9.16
3-5 LUK.12.8
3-6 MAT.5.5
3-7 DEU.6.13
3-8 HEB.3.1
3-9 MAT.6.2
3-10 JOB.37.5
3-11 MAT.25.36
3-12 REV.7.17
3-13 JHN.11.25-26
3-14 DEU.6.6-7
3-15 EPH.6.13
3-16 LUK.12.15
3-17 REV.22.12-13
3-18 DEU.6.4
3-19 DEU.5.9-10
3-20 PSA.107.1
3-21 LUK.1.50-51
3-22 1PE.1.14-16
3-23 LUK.21.33
3-24 JAS.3.13
3-25 2TH.3.5
3-26 LEV.19.4
3-27 PHP.3.10-11
3-28 JHN.14.13-14
3-29 1PE.5.7
3-30 LUK.6.41
3-31 EXO.15.18
4-1 1JN.3.23
4-2 EPH.5.18
4-3 MRK.12.17
4-4 MRK.4.9
4-5 GAL.6.9
4-6 LEV.19.18
4-7 REV.3.20
4-8 JHN.1.14
4-9 MAT.4.10
4-10 JHN.17.5
4-11 1PE.1.18-19
4-12 MAT.24.4-5
4-13 LEV.20.7
4-14 2TH.1.3
4-15 DEU.32.4
4-16 DEU.18.21-22
4-17 DEU.4.19
4-18 JHN.6.27
4-19 JHN.15.16
4-20 EPH.2.4-5
4-21 1PE.1.22
4-22 LUK.6.45
4-23 MAT.25.31-32
4-24 JUD.1.20-21
4-25 JHN.5.24
4-26 ROM.8.37
4-27 ROM.15.13
4-28 MAT.6.33
4-29 ROM.16.27
4-30 JAS.1.27
5-1 2CO.5.18
5-2 JHN.10.9
5-3 1CO.1.27
5-4 MAT.23.11-12
5-5 JAS.1.5
5-6 LUK.9.22
5-7 GEN.8.22
5-8 HEB.13.5
5-9 JHN.7.37-38
5-10 EXO.20.2-3
5-11 COL.1.21-22
5-12 1PE.4.9
5-13 PRO.13.10
5-14 EXO.20.4
5-15 PSA.21.13
5-16 LUK.14.27
5-17 ACT.16.31
5-18 TIT.3.14
5-19 MAT.16.24-25
5-20 PSA.34.18
5-21 JHN.3.14-15
5-22 GEN.16.13
5-23 1PE.3.15-16
